query_id,document_id,relevance
1,8,3.0
1,9,3.0
1,10,3.0
1,7,3.0
1,6,2.0
1,685,0.0
1,684,0.0
1,683,0.0
1,20,0.0
2,8,3.0
2,9,3.0
2,10,3.0
2,7,3.0
2,6,2.0
2,685,0.0
2,684,0.0
2,683,0.0
2,20,0.0
3,6,3.0
3,8,2.0
3,9,2.0
3,10,2.0
3,7,2.0
3,16,0.0
3,11,0.0
3,1,0.0
3,682,0.0
4,6,3.0
4,8,2.0
4,9,2.0
4,10,2.0
4,7,2.0
4,16,0.0
4,11,0.0
4,1,0.0
4,682,0.0
5,40,3.0
5,36,3.0
5,38,3.0
5,34,0.0
5,35,0.0
5,37,0.0
5,39,0.0
5,41,0.0
5,139,0.0
5,140,0.0
5,137,0.0
5,64,0.0
6,40,3.0
6,36,3.0
6,38,3.0
6,34,0.0
6,35,0.0
6,37,0.0
6,39,0.0
6,41,0.0
6,139,0.0
6,140,0.0
6,137,0.0
6,64,0.0
7,41,3.0
7,37,3.0
7,39,3.0
7,34,2.0
7,35,0.0
7,36,0.0
7,38,0.0
7,40,0.0
7,140,0.0
7,332,0.0
7,139,0.0
7,138,0.0
8,41,3.0
8,37,3.0
8,39,3.0
8,34,2.0
8,35,0.0
8,36,0.0
8,38,0.0
8,40,0.0
8,140,0.0
8,332,0.0
8,139,0.0
8,138,0.0
9,34,3.0
9,35,0.0
9,36,0.0
9,37,2.0
9,38,0.0
9,39,2.0
9,40,0.0
9,41,2.0
9,133,0.0
9,60,0.0
9,125,0.0
9,159,0.0
10,34,3.0
10,35,0.0
10,36,0.0
10,37,2.0
10,38,0.0
10,39,2.0
10,40,0.0
10,41,2.0
10,133,0.0
10,60,0.0
10,125,0.0
10,159,0.0
11,35,3.0
11,34,0.0
11,36,0.0
11,37,0.0
11,38,0.0
11,39,0.0
11,40,0.0
11,41,0.0
11,61,0.0
11,134,0.0
11,151,0.0
11,160,0.0
12,35,3.0
12,34,0.0
12,36,0.0
12,37,0.0
12,38,0.0
12,39,0.0
12,40,0.0
12,41,0.0
12,61,0.0
12,134,0.0
12,151,0.0
12,160,0.0
13,45,3.0
13,47,3.0
13,48,0.0
13,43,0.0
13,44,0.0
13,46,0.0
13,32,0.0
13,30,0.0
13,576,0.0
13,403,0.0
14,45,3.0
14,47,3.0
14,48,0.0
14,43,0.0
14,44,0.0
14,46,0.0
14,32,0.0
14,30,0.0
14,576,0.0
14,403,0.0
15,48,3.0
15,46,3.0
15,43,2.0
15,44,0.0
15,45,0.0
15,47,0.0
15,576,0.0
15,574,0.0
15,32,0.0
15,33,0.0
16,48,3.0
16,46,3.0
16,43,2.0
16,44,0.0
16,45,0.0
16,47,0.0
16,576,0.0
16,574,0.0
16,32,0.0
16,33,0.0
17,43,3.0
17,44,0.0
17,45,0.0
17,46,2.0
17,47,0.0
17,48,2.0
17,28,0.0
17,183,0.0
17,153,0.0
17,572,0.0
18,43,3.0
18,44,0.0
18,45,0.0
18,46,2.0
18,47,0.0
18,48,2.0
18,28,0.0
18,183,0.0
18,153,0.0
18,572,0.0
19,44,3.0
19,43,0.0
19,45,0.0
19,46,0.0
19,47,0.0
19,48,0.0
19,29,0.0
19,572,0.0
19,571,0.0
19,154,0.0
20,44,3.0
20,43,0.0
20,45,0.0
20,46,0.0
20,47,0.0
20,48,0.0
20,29,0.0
20,572,0.0
20,571,0.0
20,154,0.0
21,59,3.0
21,150,0.0
21,152,0.0
21,149,0.0
21,134,0.0
22,59,3.0
22,150,0.0
22,152,0.0
22,149,0.0
22,134,0.0
23,105,3.0
23,107,3.0
23,103,3.0
23,101,0.0
23,102,0.0
23,104,0.0
23,106,0.0
23,108,0.0
23,90,0.0
23,88,0.0
23,191,0.0
23,86,0.0
24,105,3.0
24,107,3.0
24,103,3.0
24,101,0.0
24,102,0.0
24,104,0.0
24,106,0.0
24,108,0.0
24,90,0.0
24,88,0.0
24,191,0.0
24,86,0.0
25,104,3.0
25,106,3.0
25,108,3.0
25,101,2.0
25,102,0.0
25,103,0.0
25,105,0.0
25,107,0.0
25,191,0.0
25,421,0.0
25,268,0.0
25,526,0.0
26,104,3.0
26,106,3.0
26,108,3.0
26,101,2.0
26,102,0.0
26,103,0.0
26,105,0.0
26,107,0.0
26,191,0.0
26,421,0.0
26,268,0.0
26,526,0.0
27,101,3.0
27,102,0.0
27,103,0.0
27,104,2.0
27,105,0.0
27,106,2.0
27,107,0.0
27,108,2.0
27,191,0.0
27,84,0.0
27,117,0.0
27,175,0.0
28,101,3.0
28,102,0.0
28,103,0.0
28,104,2.0
28,105,0.0
28,106,2.0
28,107,0.0
28,108,2.0
28,191,0.0
28,84,0.0
28,117,0.0
28,175,0.0
29,102,3.0
29,101,0.0
29,103,0.0
29,104,0.0
29,105,0.0
29,106,0.0
29,107,0.0
29,108,0.0
29,191,0.0
29,77,0.0
29,85,0.0
29,118,0.0
30,102,3.0
30,101,0.0
30,103,0.0
30,104,0.0
30,105,0.0
30,106,0.0
